"Time","mYWW","mYHW","mYRW","mYHH","mYHR","mYRR","myWW","myHW","myRW","myHH","myHR","myRR","fXWW","fXHW","fXRW","fXHH","fXHR","fXRR"
108,0,0,0,0,0,0,0,0,0,0,0,0,2032,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,2010,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,1976,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,1941,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,1930,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,0,1895,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,1894,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,1858,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0,0,1789,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0,1754,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0,1721,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0,0,1694,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1657,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,1632,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,1563,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0,0,1579,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0,1540,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0,1486,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0,1447,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,1429,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,1409,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0,0,1360,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0,1324,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0,0,0,1321,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,0,0,1287,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0,0,0,1266,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,1246,0,0,0,0,0
