strategy,rel_pct,metric,n,mean,sd,se,tval,lo,hi
Boosted YLE (XS=0.5),2.8000000000000003,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.5),3,Maximum total population,100,10594.78,166.8127590013922,16.68127590013922,1.9842169515864172,10561.680729584854,10627.879270415147
Boosted YLE (XS=0.5),3,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.5),3.2,Maximum total population,100,10579.98,175.73527956801527,17.573527956801527,1.9842169515864172,10545.110307928937,10614.849692071062
Boosted YLE (XS=0.5),3.2,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.5),3.4000000000000004,Maximum total population,100,10634.08,154.47720108988787,15.447720108988786,1.9842169515864172,10603.428371896382,10664.731628103618
Boosted YLE (XS=0.5),3.4000000000000004,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.5),3.5999999999999996,Maximum total population,100,10593.42,155.01398959351042,15.501398959351041,1.9842169515864172,10562.661861411552,10624.178138588448
Boosted YLE (XS=0.5),3.5999999999999996,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.5),3.8,Maximum total population,100,10584.46,177.58340877094088,17.75834087709409,1.9842169515864172,10549.223598999619,10619.69640100038
Boosted YLE (XS=0.5),3.8,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.5),4,Maximum total population,100,10597.22,168.28730723907188,16.82873072390719,1.9842169515864172,10563.82814722394,10630.61185277606
Boosted YLE (XS=0.5),4,Minimum female population,100,0,0,0,1.9842169515864172,0,0
Boosted YLE (XS=0.8),0.2,Maximum total population,100,10586.36,142.0379462742903,14.20379462742903,1.9842169515864172,10558.176589923403,10614.543410076598
Boosted YLE (XS=0.8),0.2,Minimum female population,100,1169.95,586.8541087438127,58.685410874381276,1.9842169515864172,1053.5054129322389,1286.3945870677612
Boosted YLE (XS=0.8),0.4,Maximum total population,100,10625.54,174.12989578490135,17.412989578490134,1.9842169515864172,10590.988850900563,10660.091149099439
Boosted YLE (XS=0.8),0.4,Minimum female population,100,6.5200000000000005,27.211658226472398,2.7211658226472397,1.9842169515864172,1.1206166466257494,11.91938335337425
Boosted YLE (XS=0.8),0.6,Maximum total population,100,10584.68,169.79196302260806,16.979196302260807,1.9842169515864172,10550.989590872741,10618.37040912726
Boosted YLE (XS=0.8),0.6,Minimum female population,100,0.009999999999999995,0.09999999999999996,0.009999999999999997,1.9842169515864172,-0.009842169515864172,0.029842169515864162
Boosted YLE (XS=0.8),0.8,Maximum total population,100,10548.35,171.26672299089628,17.126672299089627,1.9842169515864172,10514.366966499882,10582.33303350012
