tag,rel,x_shred,fy,pq,fl,fs,mu,j,c,rel_pct,x_shred_pct,rel_lab,x_shred_lab,x_idx,y_idx,n_runs,A_prob_elim,B_mean_tte_cond,C_median_tte_cond,tte_stat_choice,tte_to_plot,D_eq_final_norm_mean
rel0p0380_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p8000,0.038,0.8,0.8,0,0,1,0.97,0.25,0.93,3.8,0.8,3.8,0.8,19,9,100,1,4.352657534246576,4.361643835616438,median,4.361643835616438,0
rel0p0380_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p9000,0.038,0.9,0.8,0,0,1,0.97,0.25,0.93,3.8,0.9,3.8,0.9,19,10,100,1,4.024328767123287,4.026027397260274,median,4.026027397260274,0
rel0p0380_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs1p0000,0.038,1,0.8,0,0,1,0.97,0.25,0.93,3.8,1,3.8,1,19,11,100,1,3.6876712328767125,3.682191780821918,median,3.682191780821918,0
rel0p0400_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p0000,0.04,0,0.8,0,0,1,0.97,0.25,0.93,4,0,4,0,20,1,100,1,7.043369863013699,7.071232876712329,median,7.071232876712329,0
rel0p0400_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p1000,0.04,0.1,0.8,0,0,1,0.97,0.25,0.93,4,0.1,4,0.1,20,2,100,1,6.764383561643836,6.750684931506849,median,6.750684931506849,0
rel0p0400_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p2000,0.04,0.2,0.8,0,0,1,0.97,0.25,0.93,4,0.2,4,0.2,20,3,100,1,6.364904109589041,6.353424657534247,median,6.353424657534247,0
rel0p0400_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p3000,0.04,0.3,0.8,0,0,1,0.97,0.25,0.93,4,0.3,4,0.3,20,4,100,1,5.968767123287671,5.967123287671233,median,5.967123287671233,0
rel0p0400_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p4000,0.04,0.4,0.8,0,0,1,0.97,0.25,0.93,4,0.4,4,0.4,20,5,100,1,5.6168219178082195,5.616438356164384,median,5.616438356164384,0
rel0p0400_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p5000,0.04,0.5,0.8,0,0,1,0.97,0.25,0.93,4,0.5,4,0.5,20,6,100,1,5.272465753424657,5.269863013698631,median,5.269863013698631,0
rel0p0400_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p6000,0.04,0.6,0.8,0,0,1,0.97,0.25,0.93,4,0.6,4,0.6,20,7,100,1,4.945506849315068,4.917808219178082,median,4.917808219178082,0
rel0p0400_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p7000,0.04,0.7,0.8,0,0,1,0.97,0.25,0.93,4,0.7,4,0.7,20,8,100,1,4.588465753424658,4.605479452054794,median,4.605479452054794,0
rel0p0400_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p8000,0.04,0.8,0.8,0,0,1,0.97,0.25,0.93,4,0.8,4,0.8,20,9,100,1,4.285369863013699,4.275342465753425,median,4.275342465753425,0
rel0p0400_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs0p9000,0.04,0.9,0.8,0,0,1,0.97,0.25,0.93,4,0.9,4,0.9,20,10,100,1,3.9276712328767123,3.9246575342465753,median,3.9246575342465753,0
rel0p0400_fy0p8000_pq0p0000_fl0p0000_fs1p0000_mu0p9700_j0p2500_c0p9300_xs1p0000,0.04,1,0.8,0,0,1,0.97,0.25,0.93,4,1,4,1,20,11,100,1,3.624630136986301,3.6150684931506847,median,3.6150684931506847,0
