strategy,rel_pct,metric,n,mean,sd,se,tval,lo,hi
YLE,2,Minimum female population,100,0.09,0.4286459771622423,0.04286459771622423,1.9842169515864172,0.004947338588535452,0.17505266141146453
YLE,3,Maximum total population,100,10591.31,184.85280494206597,18.4852804942066,1.9842169515864172,10554.631193088566,10627.988806911433
YLE,3,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,4,Maximum total population,100,10600.81,186.21339420626592,18.62133942062659,1.9842169515864172,10563.861222660347,10637.758777339652
YLE,4,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,5,Maximum total population,100,10629.13,183.92530625998228,18.392530625998226,1.9842169515864172,10592.63522894932,10665.624771050678
YLE,5,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,6,Maximum total population,100,10673.27,165.87891744439753,16.58789174443975,1.9842169515864172,10640.356024009603,10706.183975990398
YLE,6,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,7.000000000000001,Maximum total population,100,10721.88,165.88003941025417,16.588003941025416,1.9842169515864172,10688.965801387234,10754.794198612764
YLE,7.000000000000001,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,8,Maximum total population,100,10773.51,172.37265801838535,17.237265801838536,1.9842169515864172,10739.307524996992,10807.712475003009
YLE,8,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,9,Maximum total population,100,10827.04,179.89721644552617,17.989721644552617,1.9842169515864172,10791.344489358558,10862.735510641443
YLE,9,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,10,Maximum total population,100,10840.08,172.94821318661965,17.294821318661967,1.9842169515864172,10805.763322364854,10874.396677635146
YLE,10,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,11,Maximum total population,100,10907.6,155.61744079243778,15.561744079243777,1.9842169515864172,10876.722123601716,10938.477876398285
YLE,11,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,12,Maximum total population,100,10949.07,170.42444073547665,17.042444073547664,1.9842169515864172,10915.254093572803,10982.885906427196
YLE,12,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,13,Maximum total population,100,11019.68,165.51858389969868,16.55185838996987,1.9842169515864172,10986.837522002364,11052.522477997636
YLE,13,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,14.000000000000002,Maximum total population,100,11094.11,171.48253702651627,17.148253702651626,1.9842169515864172,11060.084144313094,11128.135855686907
YLE,14.000000000000002,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,15,Maximum total population,100,11107.2,179.7145323320102,17.97145323320102,1.9842169515864172,11071.54073785004,11142.859262149961
YLE,15,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,16,Maximum total population,100,11150.28,172.38025151133502,17.238025151133503,1.9842169515864172,11116.07601828325,11184.483981716752
YLE,16,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,17,Maximum total population,100,11209.24,177.00631273340153,17.700631273340154,1.9842169515864172,11174.118107373657,11244.361892626343
YLE,17,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,18,Maximum total population,100,11279.78,169.33312932462061,16.933312932462062,1.9842169515864172,11246.180633432892,11313.37936656711
YLE,18,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,19,Maximum total population,100,11280.61,182.5539297652265,18.25539297652265,1.9842169515864172,11244.387339798113,11316.832660201888
YLE,19,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,20,Maximum total population,100,11395.25,174.79808698072532,17.47980869807253,1.9842169515864172,11360.566267270797,11429.933732729203
YLE,20,Minimum female population,100,0,0,0,1.9842169515864172,0,0
