tag,elim,t_elim_years,t_end_days,final_f,set_id,rel,fy,p,q,fl,fs,mu,j,c
rel0p0300_fy0p2029_p0p0332_q0p0737_fl0p0000_fs0p8469_mu0p8852_j0p8075_c0p8915,0,NA,18250,4996,8980,0.03,0.2028813320981711,0.03319826662146952,0.07368762218651828,0,0.8469416187297786,0.8852459696131573,0.8075064445466036,0.8915462472325517
rel0p0300_fy0p2029_p0p0551_q0p0763_fl0p0000_fs0p8503_mu0p8276_j0p1699_c0p8867,0,NA,18250,4938,6379,0.03,0.20286797090481967,0.05514527304408606,0.07630322713865899,0,0.8503407412848296,0.82763046269733,0.16992772162174807,0.8866948801572015
rel0p0300_fy0p2030_p0p1141_q0p1897_fl0p0000_fs0p8397_mu0p8912_j0p8665_c0p8326,0,NA,18250,4896,5914,0.03,0.20301997310638428,0.11414308697356378,0.18974462529346348,0,0.8396554074476846,0.8911516478467221,0.8665461752601666,0.8326186143939197
rel0p0300_fy0p2031_p0p0380_q0p0138_fl0p0000_fs0p9606_mu0p8036_j0p4497_c0p9033,0,NA,18250,4969,5391,0.03,0.20309432228157295,0.0380015109424945,0.01377123868877999,0,0.9606297813016268,0.8035775023164228,0.44970335641049314,0.903270674348618
rel0p0300_fy0p2032_p0p1879_q0p0327_fl0p0000_fs0p8119_mu0p9771_j0p3646_c0p9862,0,NA,18250,4928,9904,0.03,0.20318607121611015,0.18793801234089305,0.03266368443760555,0,0.8118695327462628,0.9770795563914207,0.3645639915449312,0.9862285009952262
rel0p0300_fy0p2033_p0p0636_q0p1337_fl0p0000_fs0p9587_mu0p9433_j0p7776_c0p8450,0,NA,18250,4929,5743,0.03,0.2033185257791914,0.06363680758799427,0.1336672804614948,0,0.9587033145632222,0.9433434863776946,0.777559501082683,0.844979451259491
rel0p0300_fy0p2033_p0p0920_q0p1487_fl0p0000_fs0p8729_mu0p8918_j0p1113_c0p8288,0,NA,18250,5063,8583,0.03,0.20325323404092344,0.09197817238415126,0.14865191603092476,0,0.8728949614473432,0.8917941314276308,0.1112976134848548,0.8287839421845414
rel0p0300_fy0p2034_p0p0125_q0p0430_fl0p0000_fs0p8338_mu0p9259_j0p8454_c0p8545,0,NA,18250,5008,8773,0.03,0.20339699156237767,0.01252049339862074,0.04295740507595707,0,0.833803765602694,0.9259117257264582,0.8453911615370074,0.8545309987397492
rel0p0300_fy0p2035_p0p0998_q0p1066_fl0p0000_fs0p9231_mu0p8148_j0p1237_c0p8150,0,NA,18250,5199,9271,0.03,0.20346135476842525,0.09981407563272864,0.10655813587579877,0,0.923113438424319,0.8148130270281015,0.1237062056670431,0.815004260890279
rel0p0300_fy0p2036_p0p0712_q0p0197_fl0p0000_fs0p8428_mu0p8437_j0p6453_c0p8115,0,NA,18250,5114,6478,0.03,0.2035510437625088,0.07118977343521547,0.01971252582049463,0,0.8428055881032162,0.8437452672084003,0.6453462741748197,0.81147091070380994
rel0p0300_fy0p2037_p0p0303_q0p0691_fl0p0000_fs0p8348_mu0p9451_j0p2190_c0p9799,0,NA,18250,5303,6015,0.03,0.20372001716652885,0.03026741989784874,0.06914206151284744,0,0.8347563845104771,0.9450869845530344,0.2190167486237362,0.97986943646478
rel0p0300_fy0p2037_p0p1344_q0p0655_fl0p0000_fs0p8264_mu0p9619_j0p2882_c0p9593,0,NA,18250,5114,6284,0.03,0.20365531872831288,0.1343647618144937,0.06548492910125758,0,0.8263939110772685,0.9619303061181308,0.28824387261210943,0.9593398359826812
rel0p0300_fy0p2038_p0p0725_q0p1232_fl0p0000_fs0p9194_mu0p8738_j0p2769_c0p9883,0,NA,18250,5061,8973,0.03,0.20377523504972456,0.07247958652515431,0.12317377563725224,0,0.9193790051798244,0.8738035143422754,0.27690632936996407,0.9883296635691916
rel0p0300_fy0p2039_p0p1308_q0p0599_fl0p0000_fs0p9710_mu0p9781_j0p5981_c0p8269,0,NA,18250,4830,5829,0.03,0.2039277889167704,0.13084666880611331,0.05985947636064142,0,0.9709981733521214,0.9781296040750436,0.5981002931079361,0.8269324417512445
rel0p0300_fy0p2039_p0p1341_q0p0236_fl0p0000_fs0p9841_mu0p9057_j0p7539_c0p9951,0,NA,18250,5140,656,0.03,0.2038509365005605,0.13411257496712264,0.02355679275153205,0,0.984148709180262,0.9056885205581504,0.7538797152031214,0.995072061391687
rel0p0300_fy0p2040_p0p0017_q0p1447_fl0p0000_fs0p9815_mu0p8792_j0p3570_c0p9787,0,NA,18250,5150,6093,0.03,0.20403668363753708,0.00165904701306484,0.1447176071219798,0,0.9814795119777509,0.8792197326959996,0.3569527928489493,0.9787388967510172
rel0p0300_fy0p2042_p0p0310_q0p1403_fl0p0000_fs0p8448_mu0p9475_j0p2532_c0p9234,0,NA,18250,4890,9169,0.03,0.2041596198922768,0.03098158569881692,0.14027504998888354,0,0.8447938982848451,0.9474859771540436,0.25320802323063835,0.923363818711536
rel0p0300_fy0p2042_p0p1066_q0p0917_fl0p0000_fs0p9709_mu0p8560_j0p2965_c0p8562,0,NA,18250,5075,6628,0.03,0.20418248948870227,0.10662827276268508,0.09173384150373748,0,0.9709299057360878,0.8560194848802454,0.2965204655586509,0.8562431595607056
rel0p0300_fy0p2043_p0p1435_q0p0239_fl0p0000_fs0p9282_mu0p9319_j0p1965_c0p8647,0,NA,18250,5200,233,0.03,0.20432528194515032,0.14352534119216262,0.02385014258035459,0,0.9281561653941311,0.9318776501989224,0.1964935574019561,0.8647127208835539
rel0p0300_fy0p2043_p0p1461_q0p0350_fl0p0000_fs0p9408_mu0p9861_j0p9771_c0p8535,0,NA,18250,5039,6295,0.03,0.20426314186779784,0.14612040615332778,0.03495670695601962,0,0.9408153921597124,0.9860977195801351,0.9770809847674332,0.8534599666787545
rel0p0300_fy0p2045_p0p0166_q0p1523_fl0p0000_fs0p9077_mu0p8522_j0p8861_c0p9838,0,NA,18250,4827,5179,0.03,0.20447009599773217,0.01657134350603446,0.15231865204730072,0,0.9076577949507116,0.8522473801242887,0.8861172964926111,0.9838111413232375
rel0p0300_fy0p2045_p0p1917_q0p0474_fl0p0000_fs0p9552_mu0p9781_j0p0604_c0p8885,0,NA,18250,5042,3808,0.03,0.20449202451776713,0.19165421155347956,0.0473990314148739,0,0.955228198752352,0.9780551606393512,0.0603623786999844,0.8885416859196313
rel0p0300_fy0p2046_p0p1623_q0p0596_fl0p0000_fs0p9037_mu0p9598_j0p0329_c0p9645,0,NA,18250,4844,2875,0.03,0.20458774651272224,0.16225962919199374,0.05962634781230707,0,0.903702489113803,0.959818817914757,0.0328632425194839,0.964543480255832
rel0p0300_fy0p2047_p0p1040_q0p0344_fl0p0000_fs0p9410_mu0p9780_j0p8517_c0p9760,0,NA,18250,4877,5866,0.03,0.20466556080697104,0.10401391472618562,0.03437666908061131,0,0.941013755025654,0.9779706227075168,0.8516927768133348,0.9759919941760272
rel0p0300_fy0p2048_p0p1064_q0p1999_fl0p0000_fs0p8844_mu0p9699_j0p9329_c0p9202,0,NA,18250,5126,4185,0.03,0.20482468719344588,0.10640998050651514,0.19989563455826603,0,0.8844199498072965,0.9698581933700386,0.9328580261481692,0.9201513628903544
rel0p0300_fy0p2048_p0p1727_q0p1770_fl0p0000_fs0p8350_mu0p8225_j0p2347_c0p8610,0,NA,18250,5091,7681,0.03,0.2047864272639528,0.17272852714250797,0.17697810851124582,0,0.8349891335719918,0.822486455042148,0.23470843411153183,0.8609794827305479
rel0p0300_fy0p2049_p0p1963_q0p0642_fl0p0000_fs0p9512_mu0p9659_j0p6409_c0p9995,0,NA,18250,4867,8120,0.03,0.204920747391358,0.1963299608582491,0.0642062869789498,0,0.9512115200141816,0.9658706265390012,0.6409025988338283,0.9994615708752024
rel0p0300_fy0p2050_p0p1763_q0p1304_fl0p0000_fs0p9656_mu0p8759_j0p6073_c0p9720,0,NA,18250,5155,6958,0.03,0.2050327040733956,0.17625955232793,0.13040819521688393,0,0.9655828912998596,0.8758502635214105,0.6072551646016539,0.9719594642340392
rel0p0300_fy0p2051_p0p0787_q0p1512_fl0p0000_fs0p9599_mu0p8268_j0p9103_c0p9265,0,NA,18250,5149,5621,0.03,0.20508325875602665,0.07872776121372357,0.15121357070174068,0,0.9598715784731509,0.8267820509292838,0.9102972537810914,0.9264623820147244
rel0p0300_fy0p2052_p0p1022_q0p0554_fl0p0000_fs0p8376_mu0p9860_j0p6144_c0p9318,0,NA,18250,4877,3335,0.03,0.20519428547378632,0.10222895889158362,0.0554134952971153,0,0.8376054758353625,0.986027919156109,0.6143756546945078,0.9318246614580088
rel0p0300_fy0p2053_p0p1150_q0p1345_fl0p0000_fs0p9876_mu0p8196_j0p5051_c0p8216,0,NA,18250,4986,1456,0.03,0.20525080339917912,0.1149636456281133,0.13446337064275518,0,0.9876128078119316,0.819611817289372,0.5051486358595081,0.8215746058825077
rel0p0300_fy0p2053_p0p1607_q0p0395_fl0p0000_fs0p9835_mu0p9492_j0p7940_c0p9939,0,NA,18250,5201,3264,0.03,0.2053194982691668,0.16069820486183278,0.03953862757364754,0,0.983471051482954,0.9492098916407395,0.7939640787791694,0.9938502015819588
rel0p0300_fy0p2054_p0p1066_q0p1648_fl0p0000_fs0p8968_mu0p9781_j0p1409_c0p8661,0,NA,18250,4930,2075,0.03,0.20542441468171777,0.10664437385550236,0.16477742279849483,0,0.89682006188042,0.9780901844105824,0.1409407135455869,0.866130786162708
rel0p0300_fy0p2055_p0p1715_q0p1661_fl0p0000_fs0p9588_mu0p9120_j0p8624_c0p9910,0,NA,18250,4819,742,0.03,0.2055043620069325,0.17153752171902917,0.16609166136640124,0,0.9587787241074488,0.9120148444354952,0.8624261975393863,0.9909642018397944
rel0p0300_fy0p2056_p0p1912_q0p1327_fl0p0000_fs0p8468_mu0p9236_j0p5197_c0p8213,0,NA,18250,4982,4719,0.03,0.2055761654405296,0.19118162891572343,0.13274311120026747,0,0.846841102537862,0.9236097790303688,0.5197379877147031,0.8212768808345683
rel0p0300_fy0p2057_p0p0869_q0p0568_fl0p0000_fs0p9563_mu0p8967_j0p4171_c0p9709,0,NA,18250,4948,2314,0.03,0.20568832268582657,0.0869152824200457,0.05683846635373775,0,0.9563337785203616,0.8967488241236983,0.4171106552733807,0.9709185565851676
rel0p0300_fy0p2057_p0p1076_q0p0174_fl0p0000_fs0p8399_mu0p9444_j0p5739_c0p9211,0,NA,18250,4910,7091,0.03,0.20567959416761997,0.1076398443867499,0.01737535354883876,0,0.8399468319123052,0.944427917468762,0.5738902582000941,0.9210574364218582
rel0p0300_fy0p2058_p0p0672_q0p0014_fl0p0000_fs0p9705_mu0p9598_j0p4286_c0p9336,0,NA,18250,5159,6904,0.03,0.20583623633867132,0.06723862289179582,0.00139606475919485,0,0.97046770620015,0.9598221148563876,0.42862602804692,0.9336238017314488
